Location,Carpet_Area,BHK,Floor_Number,Total_Floors,Property_Age,Parking,Furnishing,Price
Churchgate,1200,3,12,20,5,1,Furnished,72000000
Churchgate,900,2,8,15,10,1,Semi,52000000
Churchgate,1500,4,18,25,3,1,Furnished,98000000
Dadar,800,2,6,12,8,1,Semi,32000000
Dadar,650,1,4,10,12,0,Unfurnished,24000000
Dadar,1000,3,9,18,6,1,Furnished,45000000
Bandra,1100,3,10,20,4,1,Furnished,70000000
Bandra,900,2,7,15,9,1,Semi,52000000
Bandra,700,2,5,12,11,0,Unfurnished,39000000
Andheri,750,2,8,16,7,1,Semi,27000000
Andheri,600,1,4,12,10,0,Unfurnished,19000000
Andheri,950,3,11,20,5,1,Furnished,42000000
Mira Bhayander,500,1,3,10,8,0,Unfurnished,6500000
Mira Bhayander,700,2,6,14,6,1,Semi,9800000
Mira Bhayander,900,3,9,18,4,1,Furnished,13500000
Churchgate,1800,4,20,30,2,1,Furnished,120000000
Bandra,1300,3,14,22,3,1,Furnished,85000000
Dadar,850,2,7,14,7,1,Semi,36000000
Andheri,1050,3,12,20,5,1,Furnished,47000000
Mira Bhayander,650,2,5,12,9,0,Semi,8800000
